Производитель;Артикул;Наименование;Объем;Состав;Вязкость;API;ACEA;Допуски OEM;Цена;Количество
ELF;194849;Моторное масло ELF Evolution 900 SXR SAE 5W-40 (1л);1;Синтетическое;5W-40; CF,SN;A3/B4; RENAULT RN0700,RENAULT RN0710;1;1
ELF;a-126372;Моторное масло ELF Evolution SXR SAE 5W-40 (1л);1;Синтетическое;5W-40;;;;0;1
ELF;150451;Моторное масло ELF Solaris LLX SAE 5W-30 (1л);1;Синтетическое;5W-30;;;;0;1
ELF;194875;Моторное масло ELF Evolution 900 NF 5W-40 (1л);1;Синтетическое;5W-40; CF,SL;A3/B4; MB 229.3,PORSCHE A40,VW 505.00,W 502.00;0;1
ELF;177004;Моторное масло ELF Solaris MSX SAE 5W-30 (1л);1;;5W-30;SM/CF;A3,B4,C3;BMW LL-04,MB 229.51,VW 502 00,VW 505 00,VW 505.01;1;1
ELF;112010016;Моторное масло ELF Solaris LSX SAE 5W-30 (1л);1;Синтетическое;5W-30;;;;0;1
ELF;156337;Моторное масло ELF Excellium NF SAE 5W-40 (1л);1;Синтетическое;5W-40;CF,SL;A3,B4;BMW Longlife-98,GM-LL-B-025,MB 229.3,PORSCHE A40,VW 502.00,VW 505.00;0;1
ELF;194872;Моторное масло ELF Evolution 900 NF 5W-40 (5л);5;Синтетическое;5W-40; CF,SL;A3/B4; MB 229.3,PORSCHE A40,VW 505.00,W 502.00;0;1
ENEOS;8801252021308;Моторное масло ENEOS Super Diesel Synthetic SAE 5W-40 (4л);4;Синтетическое;5W-40;CH-4;A3/B3/B4;;0;1
ENEOS;8801252021445;Моторное масло ENEOS Super Gasoline Semi-Synthetic SAE 5W-30 (4л);4;Полусинтетическое;5W-30;SL;;;0;1
ENEOS;8801252021223;Моторное масло ENEOS Super Gasoline Synthetic SAE 5W-30 (4л);4;Синтетическое;5W-30;SM;;;0;1
ENEOS;8801252021940;Моторное масло ENEOS Super Gasoline Synthetic SAE 5W-50 (4л);4;Синтетическое;5W-50;SM;;;0;1
ENEOS;8801252021384;Моторное масло ENEOS Turbo Diesel Mineral SAE 15W-40 (4л);4;Минеральное;15W-40;CG-4;;;0;1
ENEOS;8801252021964;Моторное масло ENEOS Super Gasoline Semi-Synthetic SAE 10W-40 (4л);4;Полусинтетическое;10W-40;;SL;;0;1
ENEOS;8801252021971;Моторное масло ENEOS Super Diesel Semi-Synthetic SAE 10W-40 (4л);4;Полусинтетическое;10W-40;;;;0;1
ENEOS;8801252021360;Моторное масло ENEOS Super Diesel Semi-Synthetic SAE 5W-30 (4л);4;Полусинтетическое;5W-30;CG-4;;;0;1
ENEOS;8801252021032;Моторное масло ENEOS Super Gasoline Semi-Synthetic SAE 10W-40 (20л);20;Полусинтетическое;10W40;; SL;;1;1
Eni;8003699008311;Моторное масло ENI I-Sint SAE 5W-40 (1л) (NEW);1;Синтетическое;5W-40;SM/CF;A3/B4;BMW Longlife-01,GM-LL-B-025,MB 229.3,RN0700,RN0710,VW 502.00,VW 505.00;0;1
Eni;8003699008335;Моторное масло ENI I-Sint SAE 10W-40 (1л) (NEW);1;Полусинтетическое;10W-40;SM/CF;A3/B4;MB 229.3,VW 502.00,VW 505.00;1;1
Eni;8423178020946;Моторное масло ENI I-Sint Professional SAE 5W-40 (1л);1;Синтетическое;5W-40; CF,SL;A3/B4;;0;1
Eni;8423178020922;Моторное масло ENI I-Sint Professional SAE 10W-40 (1л);1;Полусинтетическое;10W-40; CF,SL;A3/B4;MB 229.1;0;1
Eni;;Моторное масло ENI I-Base Professional SAE 15W-40 (1л);1;Минеральное;15W-40; CD,SG;; MIL-L-2104D,CCNC G2,MIL-L-46152C;0;1
Eni;8423178020731;Моторное масло ENI I-Sint SAE 10W-40 (1л) (old pak);1;Полусинтетическое;10W-40;SM/CF;A3/B4;MB 229.3,VW 502.00,VW 505.00;0;1
Agip;8423178998429;Моторное масло AGIP EUROSPORTS SAE 5W-50 (1л);1;Синтетическое;5W-50;SL;;;1;1
Agip;8423178998412;Моторное масло AGIP RACING SAE 10W-60 (1л);1;Синтетическое;10W-60;SL;;;0;1
Eni;8423178020724;Моторное масло ENI I-Sint SAE 5W-40 (1л) (old pak);;;5W-40;SM/CF;A3/B4;BMW Longlife-01,GM-LL-B-025,MB 229.3,RN0700,RN0710,VW 502.00,VW 505.00;0;1
Eni;8003699008328;Моторное масло ENI I-Sint SAE 5W-40 (4л) (old pack);4;Синтетическое;5W-40;SM/CF;A3/B4;BMW Longlife-01,GM-LL-B-025,MB 229.3,RN0700,RN0710,VW 502.00;0;1
Eni;8423178011036;Моторное масло ENI I-Sint SAE 10W-40 (4л);4;Полусинтетическое;10W-40;SM/CF;A3/B4;MB 229.3,VW 502.00,VW 505.00;0;Мало
